cols,rows
38,41
indexX,indexY
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
1,8
2,8
12,8
2,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
2,10
36,10
2,11
36,11
2,12
36,12
2,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
36,13
2,14
17,14
24,14
36,14
37,14
2,15
17,15
18,15
19,15
20,15
23,15
24,15
2,16
2,17
2,18
35,18
36,18
37,18
2,19
35,19
2,20
35,20
2,21
35,21
2,22
35,22
2,23
35,23
2,24
35,24
2,25
35,25
2,26
35,26
2,27
35,27
2,28
28,28
29,28
30,28
31,28
32,28
35,28
2,29
28,29
29,29
30,29
31,29
32,29
33,29
35,29
2,30
28,30
29,30
30,30
31,30
32,30
33,30
35,30
2,31
28,31
29,31
30,31
31,31
32,31
33,31
35,31
2,32
28,32
29,32
30,32
31,32
32,32
33,32
35,32
2,33
29,33
30,33
31,33
32,33
35,33
2,34
31,34
32,34
33,34
34,34
35,34
2,35
31,35
2,36
31,36
2,37
31,37
2,38
27,38
28,38
29,38
30,38
31,38
2,39
27,39
2,40
3,40
4,40
5,40
6,40
7,40
8,40
9,40
10,40
11,40
12,40
13,40
14,40
15,40
16,40
17,40
18,40
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
