cols,rows
20,15
indexX,indexY,left,top,width,height
0,0,176,0,16,16
1,0,176,0,16,16
2,0,176,0,16,16
3,0,176,0,16,16
4,0,176,0,16,16
5,0,176,0,16,16
6,0,176,0,16,16
7,0,176,0,16,16
8,0,176,0,16,16
9,0,176,0,16,16
10,0,176,0,16,16
11,0,176,0,16,16
12,0,176,0,16,16
13,0,176,0,16,16
14,0,176,0,16,16
15,0,176,0,16,16
16,0,176,0,16,16
17,0,176,0,16,16
18,0,176,0,16,16
19,0,176,0,16,16
0,1,176,0,16,16
1,1,176,0,16,16
2,1,176,0,16,16
3,1,176,0,16,16
4,1,176,0,16,16
5,1,176,0,16,16
6,1,176,0,16,16
7,1,176,0,16,16
8,1,176,0,16,16
9,1,176,0,16,16
10,1,176,0,16,16
11,1,176,0,16,16
12,1,176,0,16,16
13,1,176,0,16,16
14,1,176,0,16,16
15,1,176,0,16,16
16,1,176,0,16,16
17,1,176,0,16,16
18,1,176,0,16,16
19,1,176,0,16,16
<<<<<<< HEAD
0,2,144,16,16,16
1,2,176,0,16,16
2,2,144,16,16,16
3,2,144,16,16,16
=======
0,2,176,0,16,16
1,2,176,0,16,16
2,2,176,0,16,16
3,2,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
4,2,176,0,16,16
5,2,176,0,16,16
6,2,176,0,16,16
7,2,176,0,16,16
8,2,176,0,16,16
9,2,176,0,16,16
10,2,176,0,16,16
11,2,176,0,16,16
12,2,176,0,16,16
13,2,176,0,16,16
14,2,176,0,16,16
15,2,176,0,16,16
16,2,176,0,16,16
17,2,176,0,16,16
18,2,176,0,16,16
19,2,176,0,16,16
0,3,176,0,16,16
1,3,176,0,16,16
2,3,176,0,16,16
<<<<<<< HEAD
3,3,176,0,16,16
4,3,144,16,16,16
5,3,144,16,16,16
6,3,144,16,16,16
7,3,176,0,16,16
8,3,176,0,16,16
=======
3,3,128,16,16,16
4,3,128,16,16,16
5,3,128,16,16,16
6,3,128,16,16,16
7,3,128,16,16,16
8,3,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
9,3,176,0,16,16
10,3,176,0,16,16
11,3,176,0,16,16
12,3,176,0,16,16
13,3,176,0,16,16
14,3,176,0,16,16
15,3,176,0,16,16
16,3,176,0,16,16
17,3,176,0,16,16
18,3,176,0,16,16
19,3,176,0,16,16
0,4,176,0,16,16
1,4,176,0,16,16
2,4,176,0,16,16
<<<<<<< HEAD
3,4,176,0,16,16
4,4,176,0,16,16
5,4,176,0,16,16
6,4,144,16,16,16
7,4,144,16,16,16
8,4,176,0,16,16
9,4,176,0,16,16
10,4,176,0,16,16
11,4,176,0,16,16
12,4,176,0,16,16
=======
3,4,128,16,16,16
4,4,128,16,16,16
5,4,176,0,16,16
6,4,176,0,16,16
7,4,176,0,16,16
8,4,128,16,16,16
9,4,128,16,16,16
10,4,128,16,16,16
11,4,128,16,16,16
12,4,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
13,4,176,0,16,16
14,4,176,0,16,16
15,4,176,0,16,16
16,4,176,0,16,16
17,4,176,0,16,16
18,4,176,0,16,16
19,4,176,0,16,16
0,5,176,0,16,16
1,5,176,0,16,16
2,5,176,0,16,16
<<<<<<< HEAD
3,5,176,0,16,16
4,5,176,0,16,16
5,5,176,0,16,16
6,5,176,0,16,16
7,5,176,0,16,16
8,5,144,16,16,16
9,5,176,0,16,16
10,5,176,0,16,16
11,5,176,0,16,16
12,5,176,0,16,16
=======
3,5,128,16,16,16
4,5,128,16,16,16
5,5,176,0,16,16
6,5,176,0,16,16
7,5,176,0,16,16
8,5,176,0,16,16
9,5,176,0,16,16
10,5,176,0,16,16
11,5,176,0,16,16
12,5,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
13,5,176,0,16,16
14,5,176,0,16,16
15,5,176,0,16,16
16,5,176,0,16,16
17,5,176,0,16,16
18,5,176,0,16,16
19,5,176,0,16,16
0,6,176,0,16,16
1,6,176,0,16,16
2,6,176,0,16,16
3,6,176,0,16,16
<<<<<<< HEAD
4,6,176,0,16,16
5,6,176,0,16,16
6,6,176,0,16,16
7,6,176,0,16,16
8,6,144,16,16,16
9,6,176,0,16,16
10,6,144,16,16,16
11,6,144,16,16,16
12,6,176,0,16,16
=======
4,6,128,16,16,16
5,6,176,0,16,16
6,6,176,0,16,16
7,6,176,0,16,16
8,6,176,0,16,16
9,6,176,0,16,16
10,6,176,0,16,16
11,6,176,0,16,16
12,6,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
13,6,176,0,16,16
14,6,176,0,16,16
15,6,176,0,16,16
16,6,176,0,16,16
17,6,176,0,16,16
18,6,176,0,16,16
19,6,176,0,16,16
0,7,176,0,16,16
1,7,176,0,16,16
2,7,176,0,16,16
3,7,176,0,16,16
<<<<<<< HEAD
4,7,176,0,16,16
5,7,176,0,16,16
6,7,176,0,16,16
7,7,144,16,16,16
8,7,144,16,16,16
9,7,144,16,16,16
10,7,176,0,16,16
11,7,176,0,16,16
12,7,144,16,16,16
=======
4,7,128,16,16,16
5,7,128,16,16,16
6,7,176,0,16,16
7,7,176,0,16,16
8,7,176,0,16,16
9,7,176,0,16,16
10,7,176,0,16,16
11,7,176,0,16,16
12,7,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
13,7,176,0,16,16
14,7,176,0,16,16
15,7,176,0,16,16
16,7,176,0,16,16
17,7,176,0,16,16
18,7,176,0,16,16
19,7,176,0,16,16
0,8,176,0,16,16
1,8,176,0,16,16
2,8,176,0,16,16
3,8,176,0,16,16
4,8,176,0,16,16
5,8,176,0,16,16
<<<<<<< HEAD
6,8,144,16,16,16
7,8,144,16,16,16
8,8,176,0,16,16
9,8,176,0,16,16
10,8,176,0,16,16
11,8,176,0,16,16
12,8,144,16,16,16
=======
6,8,128,16,16,16
7,8,128,16,16,16
8,8,128,16,16,16
9,8,128,16,16,16
10,8,128,16,16,16
11,8,128,16,16,16
12,8,128,16,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
13,8,176,0,16,16
14,8,176,0,16,16
15,8,176,0,16,16
16,8,176,0,16,16
17,8,176,0,16,16
18,8,176,0,16,16
19,8,176,0,16,16
0,9,176,0,16,16
1,9,176,0,16,16
2,9,176,0,16,16
3,9,176,0,16,16
4,9,176,0,16,16
5,9,176,0,16,16
6,9,176,0,16,16
7,9,176,0,16,16
8,9,176,0,16,16
9,9,176,0,16,16
10,9,176,0,16,16
11,9,176,0,16,16
12,9,176,0,16,16
13,9,176,0,16,16
14,9,176,0,16,16
15,9,176,0,16,16
16,9,176,0,16,16
17,9,176,0,16,16
18,9,176,0,16,16
19,9,176,0,16,16
0,10,176,0,16,16
1,10,176,0,16,16
2,10,176,0,16,16
3,10,176,0,16,16
4,10,176,0,16,16
5,10,176,0,16,16
6,10,176,0,16,16
7,10,176,0,16,16
8,10,176,0,16,16
9,10,176,0,16,16
10,10,176,0,16,16
11,10,176,0,16,16
12,10,176,0,16,16
13,10,176,0,16,16
14,10,176,0,16,16
15,10,176,0,16,16
<<<<<<< HEAD
16,10,144,16,16,16
17,10,144,16,16,16
18,10,176,0,16,16
19,10,176,0,16,16
0,11,176,0,16,16
1,11,144,16,16,16
=======
16,10,176,0,16,16
17,10,176,0,16,16
18,10,176,0,16,16
19,10,176,0,16,16
0,11,176,0,16,16
1,11,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
2,11,176,0,16,16
3,11,176,0,16,16
4,11,176,0,16,16
5,11,176,0,16,16
6,11,176,0,16,16
7,11,176,0,16,16
8,11,176,0,16,16
9,11,176,0,16,16
10,11,176,0,16,16
11,11,176,0,16,16
12,11,176,0,16,16
13,11,176,0,16,16
14,11,176,0,16,16
15,11,176,0,16,16
16,11,176,0,16,16
<<<<<<< HEAD
17,11,144,16,16,16
=======
17,11,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
18,11,176,0,16,16
19,11,176,0,16,16
0,12,176,0,16,16
1,12,176,0,16,16
2,12,176,0,16,16
<<<<<<< HEAD
3,12,144,16,16,16
4,12,176,0,16,16
5,12,176,0,16,16
6,12,144,16,16,16
=======
3,12,176,0,16,16
4,12,176,0,16,16
5,12,176,0,16,16
6,12,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
7,12,176,0,16,16
8,12,176,0,16,16
9,12,176,0,16,16
10,12,176,0,16,16
11,12,176,0,16,16
12,12,176,0,16,16
13,12,176,0,16,16
14,12,176,0,16,16
<<<<<<< HEAD
15,12,144,16,16,16
16,12,144,16,16,16
=======
15,12,176,0,16,16
16,12,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
17,12,176,0,16,16
18,12,176,0,16,16
19,12,176,0,16,16
0,13,176,0,16,16
1,13,176,0,16,16
2,13,176,0,16,16
3,13,176,0,16,16
4,13,176,0,16,16
5,13,176,0,16,16
6,13,176,0,16,16
7,13,176,0,16,16
<<<<<<< HEAD
8,13,144,16,16,16
9,13,176,0,16,16
10,13,144,16,16,16
11,13,176,0,16,16
12,13,144,16,16,16
13,13,176,0,16,16
14,13,144,16,16,16
=======
8,13,176,0,16,16
9,13,176,0,16,16
10,13,176,0,16,16
11,13,176,0,16,16
12,13,176,0,16,16
13,13,176,0,16,16
14,13,176,0,16,16
>>>>>>> cee2e9059a1d7569a8e1a11d3d5aabf0f650b343
15,13,176,0,16,16
16,13,176,0,16,16
17,13,176,0,16,16
18,13,176,0,16,16
19,13,176,0,16,16
0,14,176,0,16,16
1,14,176,0,16,16
2,14,176,0,16,16
3,14,176,0,16,16
4,14,176,0,16,16
5,14,176,0,16,16
6,14,176,0,16,16
7,14,176,0,16,16
8,14,176,0,16,16
9,14,176,0,16,16
10,14,176,0,16,16
11,14,176,0,16,16
12,14,176,0,16,16
13,14,176,0,16,16
14,14,176,0,16,16
15,14,176,0,16,16
16,14,176,0,16,16
17,14,176,0,16,16
18,14,176,0,16,16
19,14,176,0,16,16
