cols,rows
38,41
indexX,indexY,left,top,width,height
0,0,96,16,16,16
1,0,96,16,16,16
2,0,96,16,16,16
3,0,96,16,16,16
4,0,96,16,16,16
5,0,96,16,16,16
6,0,96,16,16,16
7,0,96,16,16,16
8,0,96,16,16,16
9,0,96,16,16,16
10,0,96,16,16,16
11,0,96,16,16,16
12,0,96,16,16,16
13,0,96,16,16,16
14,0,96,16,16,16
15,0,96,16,16,16
16,0,96,16,16,16
17,0,96,16,16,16
18,0,96,16,16,16
19,0,96,16,16,16
20,0,96,16,16,16
21,0,96,16,16,16
22,0,96,16,16,16
23,0,96,16,16,16
24,0,96,16,16,16
25,0,96,16,16,16
26,0,96,16,16,16
27,0,96,16,16,16
28,0,96,16,16,16
29,0,96,16,16,16
30,0,96,16,16,16
31,0,96,16,16,16
32,0,96,16,16,16
33,0,96,16,16,16
34,0,96,16,16,16
35,0,96,16,16,16
36,0,96,16,16,16
37,0,96,16,16,16
0,1,96,16,16,16
1,1,96,16,16,16
2,1,96,16,16,16
3,1,96,16,16,16
4,1,96,16,16,16
5,1,96,16,16,16
6,1,96,16,16,16
7,1,96,16,16,16
8,1,96,16,16,16
9,1,96,16,16,16
10,1,96,16,16,16
11,1,96,16,16,16
12,1,96,16,16,16
13,1,96,16,16,16
14,1,96,16,16,16
15,1,96,16,16,16
16,1,96,16,16,16
17,1,96,16,16,16
18,1,96,16,16,16
19,1,96,16,16,16
20,1,96,16,16,16
21,1,96,16,16,16
22,1,96,16,16,16
23,1,96,16,16,16
24,1,96,16,16,16
25,1,96,16,16,16
26,1,96,16,16,16
27,1,96,16,16,16
28,1,96,16,16,16
29,1,96,16,16,16
30,1,96,16,16,16
31,1,96,16,16,16
32,1,96,16,16,16
33,1,96,16,16,16
34,1,96,16,16,16
35,1,96,16,16,16
36,1,96,16,16,16
37,1,96,16,16,16
0,2,96,16,16,16
1,2,96,16,16,16
2,2,96,16,16,16
3,2,96,16,16,16
4,2,96,16,16,16
5,2,96,16,16,16
6,2,96,16,16,16
7,2,96,16,16,16
8,2,96,16,16,16
9,2,96,16,16,16
10,2,96,16,16,16
11,2,96,16,16,16
12,2,96,16,16,16
13,2,96,16,16,16
14,2,96,16,16,16
15,2,96,16,16,16
16,2,96,16,16,16
17,2,96,16,16,16
18,2,96,16,16,16
19,2,96,16,16,16
20,2,96,16,16,16
21,2,96,16,16,16
22,2,96,16,16,16
23,2,96,16,16,16
24,2,96,16,16,16
25,2,96,16,16,16
26,2,96,16,16,16
27,2,96,16,16,16
28,2,96,16,16,16
29,2,96,16,16,16
30,2,96,16,16,16
31,2,96,16,16,16
32,2,96,16,16,16
33,2,96,16,16,16
34,2,96,16,16,16
35,2,96,16,16,16
36,2,96,16,16,16
37,2,96,16,16,16
0,3,96,16,16,16
1,3,96,16,16,16
2,3,96,16,16,16
3,3,96,16,16,16
4,3,96,16,16,16
5,3,96,16,16,16
6,3,96,16,16,16
7,3,96,16,16,16
8,3,96,16,16,16
9,3,96,16,16,16
10,3,96,16,16,16
11,3,96,16,16,16
12,3,96,16,16,16
13,3,96,16,16,16
14,3,96,16,16,16
15,3,96,16,16,16
16,3,96,16,16,16
17,3,96,16,16,16
18,3,96,16,16,16
19,3,96,16,16,16
20,3,96,16,16,16
21,3,96,16,16,16
22,3,96,16,16,16
23,3,96,16,16,16
24,3,96,16,16,16
25,3,96,16,16,16
26,3,96,16,16,16
27,3,96,16,16,16
28,3,96,16,16,16
29,3,96,16,16,16
30,3,96,16,16,16
31,3,96,16,16,16
32,3,96,16,16,16
33,3,96,16,16,16
34,3,96,16,16,16
35,3,96,16,16,16
36,3,96,16,16,16
37,3,96,16,16,16
0,4,96,16,16,16
1,4,96,16,16,16
2,4,96,16,16,16
3,4,96,16,16,16
4,4,96,16,16,16
5,4,96,16,16,16
6,4,96,16,16,16
7,4,96,16,16,16
8,4,96,16,16,16
9,4,96,16,16,16
10,4,96,16,16,16
11,4,96,16,16,16
12,4,96,16,16,16
13,4,96,16,16,16
14,4,96,16,16,16
15,4,96,16,16,16
16,4,96,16,16,16
17,4,96,16,16,16
18,4,96,16,16,16
19,4,96,16,16,16
20,4,96,16,16,16
21,4,96,16,16,16
22,4,96,16,16,16
23,4,96,16,16,16
24,4,96,16,16,16
25,4,96,16,16,16
26,4,96,16,16,16
27,4,96,16,16,16
28,4,96,16,16,16
29,4,96,16,16,16
30,4,96,16,16,16
31,4,96,16,16,16
32,4,96,16,16,16
33,4,96,16,16,16
34,4,96,16,16,16
35,4,96,16,16,16
36,4,96,16,16,16
37,4,96,16,16,16
0,5,96,16,16,16
1,5,96,16,16,16
2,5,96,16,16,16
3,5,96,16,16,16
4,5,96,16,16,16
5,5,96,16,16,16
6,5,96,16,16,16
7,5,96,16,16,16
8,5,96,16,16,16
9,5,96,16,16,16
10,5,96,16,16,16
11,5,96,16,16,16
12,5,96,16,16,16
13,5,96,16,16,16
14,5,96,16,16,16
15,5,96,16,16,16
16,5,96,16,16,16
17,5,96,16,16,16
18,5,96,16,16,16
19,5,96,16,16,16
20,5,96,16,16,16
21,5,96,16,16,16
22,5,96,16,16,16
23,5,96,16,16,16
24,5,96,16,16,16
25,5,96,16,16,16
26,5,96,16,16,16
27,5,96,16,16,16
28,5,96,16,16,16
29,5,96,16,16,16
30,5,96,16,16,16
31,5,96,16,16,16
32,5,96,16,16,16
33,5,96,16,16,16
34,5,96,16,16,16
35,5,96,16,16,16
36,5,96,16,16,16
37,5,96,16,16,16
0,6,96,16,16,16
1,6,96,16,16,16
2,6,96,16,16,16
3,6,96,16,16,16
4,6,96,16,16,16
5,6,96,16,16,16
6,6,96,16,16,16
7,6,96,16,16,16
8,6,96,16,16,16
9,6,96,16,16,16
10,6,96,16,16,16
11,6,96,16,16,16
12,6,96,16,16,16
13,6,96,16,16,16
14,6,96,16,16,16
15,6,96,16,16,16
16,6,96,16,16,16
17,6,96,16,16,16
18,6,96,16,16,16
19,6,96,16,16,16
20,6,96,16,16,16
21,6,96,16,16,16
22,6,96,16,16,16
23,6,96,16,16,16
24,6,96,16,16,16
25,6,96,16,16,16
26,6,96,16,16,16
27,6,96,16,16,16
28,6,96,16,16,16
29,6,96,16,16,16
30,6,96,16,16,16
31,6,96,16,16,16
32,6,96,16,16,16
33,6,96,16,16,16
34,6,96,16,16,16
35,6,96,16,16,16
36,6,96,16,16,16
37,6,96,16,16,16
0,7,96,16,16,16
1,7,96,16,16,16
2,7,96,16,16,16
3,7,96,16,16,16
4,7,96,16,16,16
5,7,96,16,16,16
6,7,96,16,16,16
7,7,96,16,16,16
8,7,96,16,16,16
9,7,96,16,16,16
10,7,96,16,16,16
11,7,96,16,16,16
12,7,96,16,16,16
13,7,96,16,16,16
14,7,96,16,16,16
15,7,96,16,16,16
16,7,96,16,16,16
17,7,96,16,16,16
18,7,96,16,16,16
19,7,96,16,16,16
20,7,96,16,16,16
21,7,96,16,16,16
22,7,96,16,16,16
23,7,96,16,16,16
24,7,96,16,16,16
25,7,96,16,16,16
26,7,96,16,16,16
27,7,96,16,16,16
28,7,96,16,16,16
29,7,96,16,16,16
30,7,96,16,16,16
31,7,96,16,16,16
32,7,96,16,16,16
33,7,96,16,16,16
34,7,96,16,16,16
35,7,96,16,16,16
36,7,96,16,16,16
37,7,96,16,16,16
0,8,96,16,16,16
1,8,96,16,16,16
2,8,96,16,16,16
3,8,96,16,16,16
4,8,96,16,16,16
5,8,96,16,16,16
6,8,96,16,16,16
7,8,96,16,16,16
8,8,96,16,16,16
9,8,96,16,16,16
10,8,96,16,16,16
11,8,96,16,16,16
12,8,96,16,16,16
13,8,96,16,16,16
14,8,96,16,16,16
15,8,96,16,16,16
16,8,96,16,16,16
17,8,96,16,16,16
18,8,96,16,16,16
19,8,96,16,16,16
20,8,96,16,16,16
21,8,96,16,16,16
22,8,96,16,16,16
23,8,96,16,16,16
24,8,96,16,16,16
25,8,96,16,16,16
26,8,96,16,16,16
27,8,96,16,16,16
28,8,96,16,16,16
29,8,96,16,16,16
30,8,96,16,16,16
31,8,96,16,16,16
32,8,96,16,16,16
33,8,96,16,16,16
34,8,96,16,16,16
35,8,96,16,16,16
36,8,96,16,16,16
37,8,96,16,16,16
0,9,96,16,16,16
1,9,96,16,16,16
2,9,96,16,16,16
3,9,96,16,16,16
4,9,96,16,16,16
5,9,96,16,16,16
6,9,96,16,16,16
7,9,96,16,16,16
8,9,96,16,16,16
9,9,96,16,16,16
10,9,96,16,16,16
11,9,96,16,16,16
12,9,96,16,16,16
13,9,96,16,16,16
14,9,96,16,16,16
15,9,96,16,16,16
16,9,96,16,16,16
17,9,96,16,16,16
18,9,96,16,16,16
19,9,96,16,16,16
20,9,96,16,16,16
21,9,96,16,16,16
22,9,96,16,16,16
23,9,96,16,16,16
24,9,96,16,16,16
25,9,96,16,16,16
26,9,96,16,16,16
27,9,96,16,16,16
28,9,96,16,16,16
29,9,96,16,16,16
30,9,96,16,16,16
31,9,96,16,16,16
32,9,96,16,16,16
33,9,96,16,16,16
34,9,96,16,16,16
35,9,96,16,16,16
36,9,96,16,16,16
37,9,96,16,16,16
0,10,96,16,16,16
1,10,96,16,16,16
2,10,96,16,16,16
3,10,96,16,16,16
4,10,96,16,16,16
5,10,96,16,16,16
6,10,96,16,16,16
7,10,96,16,16,16
8,10,96,16,16,16
9,10,96,16,16,16
10,10,96,16,16,16
11,10,96,16,16,16
12,10,96,16,16,16
13,10,96,16,16,16
14,10,96,16,16,16
15,10,96,16,16,16
16,10,96,16,16,16
17,10,96,16,16,16
18,10,96,16,16,16
19,10,96,16,16,16
20,10,96,16,16,16
21,10,96,16,16,16
22,10,96,16,16,16
23,10,96,16,16,16
24,10,96,16,16,16
25,10,96,16,16,16
26,10,96,16,16,16
27,10,96,16,16,16
28,10,96,16,16,16
29,10,96,16,16,16
30,10,96,16,16,16
31,10,96,16,16,16
32,10,96,16,16,16
33,10,96,16,16,16
34,10,96,16,16,16
35,10,96,16,16,16
36,10,96,16,16,16
37,10,96,16,16,16
0,11,96,16,16,16
1,11,96,16,16,16
2,11,96,16,16,16
3,11,96,16,16,16
4,11,96,16,16,16
5,11,96,16,16,16
6,11,96,16,16,16
7,11,96,16,16,16
8,11,96,16,16,16
9,11,96,16,16,16
10,11,96,16,16,16
11,11,96,16,16,16
12,11,96,16,16,16
13,11,96,16,16,16
14,11,96,16,16,16
15,11,96,16,16,16
16,11,96,16,16,16
17,11,96,16,16,16
18,11,96,16,16,16
19,11,96,16,16,16
20,11,96,16,16,16
21,11,96,16,16,16
22,11,96,16,16,16
23,11,96,16,16,16
24,11,96,16,16,16
25,11,96,16,16,16
26,11,96,16,16,16
27,11,96,16,16,16
28,11,96,16,16,16
29,11,96,16,16,16
30,11,96,16,16,16
31,11,96,16,16,16
32,11,96,16,16,16
33,11,96,16,16,16
34,11,96,16,16,16
35,11,96,16,16,16
36,11,96,16,16,16
37,11,96,16,16,16
0,12,96,16,16,16
1,12,96,16,16,16
2,12,96,16,16,16
3,12,96,16,16,16
4,12,96,16,16,16
5,12,96,16,16,16
6,12,96,16,16,16
7,12,96,16,16,16
8,12,96,16,16,16
9,12,96,16,16,16
10,12,96,16,16,16
11,12,96,16,16,16
12,12,96,16,16,16
13,12,96,16,16,16
14,12,96,16,16,16
15,12,96,16,16,16
16,12,96,16,16,16
17,12,96,16,16,16
18,12,96,16,16,16
19,12,96,16,16,16
20,12,96,16,16,16
21,12,96,16,16,16
22,12,96,16,16,16
23,12,96,16,16,16
24,12,96,16,16,16
25,12,96,16,16,16
26,12,96,16,16,16
27,12,96,16,16,16
28,12,96,16,16,16
29,12,96,16,16,16
30,12,96,16,16,16
31,12,96,16,16,16
32,12,96,16,16,16
33,12,96,16,16,16
34,12,96,16,16,16
35,12,96,16,16,16
36,12,96,16,16,16
37,12,96,16,16,16
0,13,96,16,16,16
1,13,96,16,16,16
2,13,96,16,16,16
3,13,96,16,16,16
4,13,96,16,16,16
5,13,96,16,16,16
6,13,96,16,16,16
7,13,96,16,16,16
8,13,96,16,16,16
9,13,96,16,16,16
10,13,96,16,16,16
11,13,96,16,16,16
12,13,96,16,16,16
13,13,96,16,16,16
14,13,96,16,16,16
15,13,96,16,16,16
16,13,96,16,16,16
17,13,96,16,16,16
18,13,96,16,16,16
19,13,96,16,16,16
20,13,96,16,16,16
21,13,96,16,16,16
22,13,96,16,16,16
23,13,96,16,16,16
24,13,96,16,16,16
25,13,96,16,16,16
26,13,96,16,16,16
27,13,96,16,16,16
28,13,96,16,16,16
29,13,96,16,16,16
30,13,96,16,16,16
31,13,96,16,16,16
32,13,96,16,16,16
33,13,96,16,16,16
34,13,96,16,16,16
35,13,96,16,16,16
36,13,96,16,16,16
37,13,96,16,16,16
0,14,96,16,16,16
1,14,96,16,16,16
2,14,96,16,16,16
3,14,96,16,16,16
4,14,96,16,16,16
5,14,96,16,16,16
6,14,96,16,16,16
7,14,96,16,16,16
8,14,96,16,16,16
9,14,96,16,16,16
10,14,96,16,16,16
11,14,96,16,16,16
12,14,96,16,16,16
13,14,96,16,16,16
14,14,96,16,16,16
15,14,96,16,16,16
16,14,96,16,16,16
17,14,96,16,16,16
18,14,96,16,16,16
19,14,96,16,16,16
20,14,96,16,16,16
21,14,96,16,16,16
22,14,96,16,16,16
23,14,96,16,16,16
24,14,96,16,16,16
25,14,96,16,16,16
26,14,96,16,16,16
27,14,96,16,16,16
28,14,96,16,16,16
29,14,96,16,16,16
30,14,96,16,16,16
31,14,96,16,16,16
32,14,96,16,16,16
33,14,96,16,16,16
34,14,96,16,16,16
35,14,96,16,16,16
36,14,96,16,16,16
37,14,96,16,16,16
0,15,96,16,16,16
1,15,96,16,16,16
2,15,96,16,16,16
3,15,96,16,16,16
4,15,96,16,16,16
5,15,96,16,16,16
6,15,96,16,16,16
7,15,96,16,16,16
8,15,96,16,16,16
9,15,96,16,16,16
10,15,96,16,16,16
11,15,96,16,16,16
12,15,96,16,16,16
13,15,96,16,16,16
14,15,96,16,16,16
15,15,96,16,16,16
16,15,96,16,16,16
17,15,96,16,16,16
18,15,96,16,16,16
19,15,96,16,16,16
20,15,96,16,16,16
21,15,96,16,16,16
22,15,96,16,16,16
23,15,96,16,16,16
24,15,96,16,16,16
25,15,96,16,16,16
26,15,96,16,16,16
27,15,96,16,16,16
28,15,96,16,16,16
29,15,96,16,16,16
30,15,96,16,16,16
31,15,96,16,16,16
32,15,96,16,16,16
33,15,96,16,16,16
34,15,96,16,16,16
35,15,96,16,16,16
36,15,96,16,16,16
37,15,96,16,16,16
0,16,96,16,16,16
1,16,96,16,16,16
2,16,96,16,16,16
3,16,96,16,16,16
4,16,96,16,16,16
5,16,96,16,16,16
6,16,96,16,16,16
7,16,96,16,16,16
8,16,96,16,16,16
9,16,96,16,16,16
10,16,96,16,16,16
11,16,96,16,16,16
12,16,96,16,16,16
13,16,96,16,16,16
14,16,96,16,16,16
15,16,96,16,16,16
16,16,96,16,16,16
17,16,96,16,16,16
18,16,96,16,16,16
19,16,96,16,16,16
20,16,96,16,16,16
21,16,96,16,16,16
22,16,96,16,16,16
23,16,96,16,16,16
24,16,96,16,16,16
25,16,96,16,16,16
26,16,96,16,16,16
27,16,96,16,16,16
28,16,96,16,16,16
29,16,96,16,16,16
30,16,96,16,16,16
31,16,96,16,16,16
32,16,96,16,16,16
33,16,96,16,16,16
34,16,96,16,16,16
35,16,96,16,16,16
36,16,96,16,16,16
37,16,96,16,16,16
0,17,96,16,16,16
1,17,96,16,16,16
2,17,96,16,16,16
3,17,96,16,16,16
4,17,96,16,16,16
5,17,96,16,16,16
6,17,96,16,16,16
7,17,96,16,16,16
8,17,96,16,16,16
9,17,96,16,16,16
10,17,96,16,16,16
11,17,96,16,16,16
12,17,96,16,16,16
13,17,96,16,16,16
14,17,96,16,16,16
15,17,96,16,16,16
16,17,96,16,16,16
17,17,96,16,16,16
18,17,96,16,16,16
19,17,96,16,16,16
20,17,96,16,16,16
21,17,96,16,16,16
22,17,96,16,16,16
23,17,96,16,16,16
24,17,96,16,16,16
25,17,96,16,16,16
26,17,96,16,16,16
27,17,96,16,16,16
28,17,96,16,16,16
29,17,96,16,16,16
30,17,96,16,16,16
31,17,96,16,16,16
32,17,96,16,16,16
33,17,96,16,16,16
34,17,96,16,16,16
35,17,96,16,16,16
36,17,96,16,16,16
37,17,96,16,16,16
0,18,96,16,16,16
1,18,96,16,16,16
2,18,96,16,16,16
3,18,96,16,16,16
4,18,96,16,16,16
5,18,96,16,16,16
6,18,96,16,16,16
7,18,96,16,16,16
8,18,96,16,16,16
9,18,96,16,16,16
10,18,96,16,16,16
11,18,96,16,16,16
12,18,96,16,16,16
13,18,96,16,16,16
14,18,96,16,16,16
15,18,96,16,16,16
16,18,96,16,16,16
17,18,96,16,16,16
18,18,96,16,16,16
19,18,96,16,16,16
20,18,96,16,16,16
21,18,96,16,16,16
22,18,96,16,16,16
23,18,96,16,16,16
24,18,96,16,16,16
25,18,96,16,16,16
26,18,96,16,16,16
27,18,96,16,16,16
28,18,96,16,16,16
29,18,96,16,16,16
30,18,96,16,16,16
31,18,96,16,16,16
32,18,96,16,16,16
33,18,96,16,16,16
34,18,96,16,16,16
35,18,96,16,16,16
36,18,96,16,16,16
37,18,96,16,16,16
0,19,96,16,16,16
1,19,96,16,16,16
2,19,96,16,16,16
3,19,96,16,16,16
4,19,96,16,16,16
5,19,96,16,16,16
6,19,96,16,16,16
7,19,96,16,16,16
8,19,96,16,16,16
9,19,96,16,16,16
10,19,96,16,16,16
11,19,96,16,16,16
12,19,96,16,16,16
13,19,96,16,16,16
14,19,96,16,16,16
15,19,96,16,16,16
16,19,96,16,16,16
17,19,96,16,16,16
18,19,96,16,16,16
19,19,96,16,16,16
20,19,96,16,16,16
21,19,96,16,16,16
22,19,96,16,16,16
