cols,rows
38,41
index,indexX,indexY,left,top,width,height,type
0,15,27,48,0,16,16,0
1,16,27,48,0,16,16,0
2,19,28,48,0,16,16,0
3,20,28,48,0,16,16,0
4,24,27,48,0,16,16,0
5,12,27,16,0,16,16,0
6,14,29,16,0,16,16,0
7,16,28,16,0,16,16,0
8,16,31,16,0,16,16,0
9,9,32,16,0,16,16,0
10,10,32,16,0,16,16,0
11,26,26,16,0,16,16,0
12,31,21,16,0,16,16,0
13,11,34,64,0,16,16,1
14,7,32,64,0,16,16,1
15,13,32,80,0,16,16,1
16,13,33,80,0,16,16,1
17,17,29,80,0,16,16,1
18,21,25,80,0,16,16,1
19,22,25,80,0,16,16,1
20,32,23,80,0,16,16,1
21,32,24,80,0,16,16,1
22,32,25,80,0,16,16,1
23,32,26,80,0,16,16,1
24,31,26,80,0,16,16,1
25,30,26,80,0,16,16,1
26,17,27,64,0,16,16,1
27,18,27,64,0,16,16,1
28,22,31,64,0,16,16,1
29,22,32,64,0,16,16,1
30,27,25,128,0,16,16,3
31,28,24,128,0,16,16,3
32,29,24,128,0,16,16,3
33,29,25,128,0,16,16,3
34,30,23,128,0,16,16,3
35,22,27,128,0,16,16,3
36,22,28,128,0,16,16,3
37,23,28,128,0,16,16,3
38,25,28,128,0,16,16,3
39,19,31,128,0,16,16,3
40,8,27,128,0,16,16,3
41,7,27,128,0,16,16,3
42,7,28,128,0,16,16,3
43,7,29,128,0,16,16,3
44,8,29,128,0,16,16,3
45,8,30,128,0,16,16,3
46,3,24,128,0,16,16,3
47,3,25,128,0,16,16,3
48,3,26,128,0,16,16,3
49,3,27,128,0,16,16,3
50,4,27,128,0,16,16,3
51,4,28,128,0,16,16,3
52,23,31,112,0,16,16,3
53,23,32,112,0,16,16,3
54,23,33,112,0,16,16,3
55,27,33,112,0,16,16,3
56,27,34,112,0,16,16,3
57,28,34,112,0,16,16,3
58,24,37,112,0,16,16,3
59,14,35,112,0,16,16,3
60,13,35,112,0,16,16,3
61,13,36,112,0,16,16,3
62,8,34,112,0,16,16,3
63,8,35,112,0,16,16,3
64,7,35,112,0,16,16,3
65,7,36,112,0,16,16,3
66,6,24,144,0,16,16,2
67,11,27,144,0,16,16,2
68,6,29,144,0,16,16,2
69,6,27,144,0,16,16,2
70,12,30,144,0,16,16,2
71,17,25,144,0,16,16,2
72,29,23,144,0,16,16,2
73,29,22,144,0,16,16,2
74,26,18,144,0,16,16,2
75,33,19,144,0,16,16,2
76,33,25,144,0,16,16,2
77,24,30,144,0,16,16,2
78,17,33,144,0,16,16,2
79,26,37,144,0,16,16,2
80,21,32,144,0,16,16,2
81,11,36,144,0,16,16,2
82,10,36,144,0,16,16,2
83,5,34,144,0,16,16,2
84,17,31,160,0,16,16,2
85,14,37,160,0,16,16,2
86,25,33,176,0,16,16,2
87,20,29,176,0,16,16,2
